"id","piping_class_id","section_no","piping_component_id","valve_id","size_desc","description","created_at","updated_at"
2242,65,0,42,,"2"" ONLY","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, SCHEDULE 160 BORE",,
2243,65,0,42,,"3"" - 24""","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, BORE TO MATCH PIPE",,
2244,65,0,43,,"1/2"" - 1-1/2""","OR ASTM A53 GR B, ASME B36.10M : SCHEDULE 160",,
2245,65,0,43,,"2"" ONLY","SEAMLESS STEEL ASTM A53 GR B OR API 5L GR B, ASME B36.10M : SCHEDULE 160",,
2246,65,0,43,,"3"" - 24""","SEAMLESS STEEL ASTM A53 GR B OR API 5L GR B, ASME B36.10M : CALCULATE WALL THICKNESS STD WEIGHT MINIMUM)",,
2247,65,0,48,,"1/2"" - 1-1/2""","STEEL ASTM A105, ANSI B16.11 : ROUND HEAD SOLID, SCREWED",,
2248,65,0,49,,"ALL","SEE DWG APCO-DWG-P-38 IN ENGINEERING STD. 202 (C.P. ONLY). FOR LAR, SEE DWG I-24502, PAGE I-14 THRU I-22.",,
2249,65,0,56,,"ALL","SEE DWG APCO-DWG-P-30 IN ENGINEERING STD. 202",,
2250,65,0,65,,"ALL","NOT ALLOWED - USE FLANGES",,
2251,65,0,66,,"ALL","SEE DWG APCO-DWG-P-37 IN ENGINEERING STD. 202",,
2252,66,0,4,408,"1/2""-1-1/2""","CLASS 800 STEEL : SOCKETWELD, NACE",,
2253,66,0,4,409,"1/2""-1-1/2""","CLASS 800 STEEL : SOCKETWELD/SCREWED, NACE",,
2254,66,0,4,268,"1/2""-1-1/2""","CLASS 600 STEEL : RAISED FACE FLGD. NACE",,
2255,66,0,4,268,"2"" ONLY","CLASS 600 STEEL : RAISED FACE FLANGED,NACE",,
2256,66,0,5,440,"1/2""-1-1/2""","CLASS 800 STEEL : SOCKETWELD, NACE",,
2257,66,0,5,315,"2"" ONLY","CLASS 600 STEEL : RAISED FACE FLANGED, NACE",,
2258,66,0,6,,"ALL","ASTM A193, B7 STUD, WITH 2 HEAVY HEXNUTS ASTM A194, GR 2H",,
2259,66,0,7,,"ALL","SEE CHART BC-9",,
2260,66,0,10,318,"2"" & LARGER","CLASS 600 STEEL : SWING, R. F. FLANGED, NACE",,
2261,66,0,10,447,"1/2"" - 1-1/2""","CLASS 800 STEEL : HORIZONTAL LIFT, SW, NACE",,
2262,66,0,13,,"1/2"" - 1-1/2""","FORGED STEEL SOCKETWELD ASTM A105, ANSI B16.11 : CLASS 6000",,
2263,66,0,13,,"2"" ONLY","SEAMLESS STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : SCHEDULE 160 BORE",,
2264,66,0,13,,"3"" - 24""","SEAMLESS STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : WALL THICKNESS TO MATCH PIPE",,
2265,66,0,16,,"1/2"" - 1-1/2""","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.5 : SOCKETWELD, SCHEDULE 160 BORE",,
2266,66,0,16,,"2"" ONLY","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.5 : WELDING NECK, SCHEDULE 160 BORE",,
2267,66,0,16,,"3"" - 24""","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.5 : WELDING NECK, BORE TO MATCH PIPE",,
2268,66,0,16,,"1/2"" - 24""","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.5 : BLIND",,
2269,66,0,20,,"ALL","SPIRAL WOUND TYPE 304 S.S. WITH FLEXIBLE GRAPHITE FILLER, 1/8"" THICK CENTERING RING",,
2270,66,0,21,248,"1/2"" - 1-1/2""","CLASS 600 STEEL : RAISED FACE FLANGED, NACE",,
2271,66,0,21,249,"2"" & LARGER","CLASS 600 STEEL : RAISED FACE FLANGED, NACE",,
2272,66,0,21,391,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD, NACE",,
2273,66,0,21,392,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD/SCREWED, NACE",,
2274,66,0,23,673,"3/4""","4000# - 6000# MALE SOCKETWELD END : STEEL BAR STOCK, NACE, 1/2"" FNPT SIDE OUTLETS, INTEGRAL BLEED VALVE",,
2275,66,0,24,282,"2"" - 12""","CLASS 600 STEEL : RAISED FACE FLANGED, NACE",,
2276,66,0,24,427,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD, NACE",,
2277,66,0,39,352,"2"" & LARGER","CLASS 600 STEEL : R. F. FLANGED, TFE SEAT, NACE",,
2278,66,0,39,355,"1"" - 1-1/2""","CLASS 600 STEEL : SOCKETWELD, NACE",,
2279,66,0,42,,"2"" ONLY","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, SCHEDULE 160 BORE",,
2280,66,0,42,,"3"" - 24""","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, BORE TO MATCH PIPE",,
2281,66,0,43,,"1/2"" - 2""","SEAMLESS STEEL ASTM A106 GR B OR ASTM A53 GR B, ASME B36.10M : SCHEDULE 160",,
2282,66,0,43,,"3"" - 24""","SEAMLESS STEEL ASTM A53 GR B OR API 5L GR B, ASME B36.10M : CALCULATE WALL THICKNESS STD WEIGHT MINIMUM)",,
2283,66,0,48,,"1/2"" - 1-1/2""","STEEL ASTM A105, ANSI B16.11 : ROUND HEAD SOLID, SCREWED",,
2284,66,0,49,,"ALL","SEE DWG APCO-DWG-P-38 IN ENGINEERING STD. 202 (C.P. ONLY). FOR LAR, SEE DWG I-24502, PAGES I-14 THRU I-22.",,
2285,66,0,56,,"ALL","SEE DWG APCO-DWG-P-30 IN ENGINEERING STD. 202",,
2286,66,0,65,,"ALL","NOT ALLOWED - USE FLANGES",,
2287,66,0,66,,"ALL","SEE DWG APCO-DWG-P-37 IN ENGINEERING STD. 202",,
2288,67,0,4,402,"1/2""-1-1/2""","CLASS 800 STEEL : SOCKETWELD API 602",,
2289,67,0,4,403,"1/2""-1-1/2""","CLASS 800 STEEL : SOCKETWELD/SCREWED API 602",,
2290,67,0,4,266,"1/2""-1-1/2""","CLASS 600 STEEL : RAISED FACE FLGD. API 602",,
2291,67,0,4,266,"2"" ONLY","CLASS 600 STEEL : RAISED FACE FLANGED",,
2292,67,0,5,438,"1/2""-1-1/2""","CLASS 800 STEEL : SOCKETWELD",,
2293,67,0,5,314,"2"" ONLY","CLASS 600 STEEL : RAISED FACE FLANGED",,
2294,67,0,6,,"ALL","ASTM A193, B7 STUD, WITH 2 HEAVY HEXNUTS ASTM A194, GR 2H",,
2295,67,0,7,,"ALL","SEE CHART BC-9",,
2296,67,0,10,327,"2"" - 12""","CLASS 600 STEEL : SWING, RAISED FACE FLANGED",,
2297,67,0,10,443,"1/2"" - 1-1/2""","CLASS 800 STEEL : HORIZONTAL LIFT, SOCKETWELD",,
2298,67,0,13,,"1/2"" - 1-1/2""","FORGED STEEL SOCKETWELD ASTM A105, ANSI B16.11 : CLASS 6000",,
2299,67,0,13,,"2"" ONLY","SEAMLESS STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : SCHEDULE 160",,
2300,67,0,13,,"3"" - 24""","SEAMLESS STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : WALL THICKNESS TO MATCH PIPE",,
2301,67,0,16,,"1/2"" - 1-1/2""","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.5 : SOCKETWELD, SCHEDULE 160 BORE",,
2302,67,0,16,,"2"" ONLY","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.5 : WELDING NECK, SCHEDULE 160 BORE",,
2303,67,0,16,,"3"" - 24""","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.5 : WELDING NECK, BORE TO MATCH PIPE",,
2304,67,0,16,,"1/2"" - 24""","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.5 : BLIND",,
2305,67,0,20,,"ALL","SPIRAL WOUND TYPE 304SS WITH FLEXIBLE GRAPHITE FILLER, 1/8"" THICK CENTERING RING",,
2306,67,0,21,231,"1/2"" - 1-1/2""","CLASS 600 STEEL : RAISED FACE FLANGED API 602",,
2307,67,0,21,241,"2"" & LARGER","CLASS 600 STEEL : RAISED FACE FLANGED API 600",,
2308,67,0,21,379,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD API 602",,
2309,67,0,21,388,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD/SCREWED API 602",,
2310,67,0,23,672,"3/4""","4000# - 6000# MALE SOCKETWELD END : STEEL BAR STOCK, 1/2"" FNPT SIDE OUTLETS, INTEGRAL BLEED VALVES",,
2311,67,0,24,291,"2"" - 12""","CLASS 600 STEEL : RAISED FACE FLANGED",,
2312,67,0,24,422,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD",,
2313,67,0,39,349,"2"" - 8""","CLASS 600 STEEL : RAISED FACE FLANGED, TFE SEAT",,
2314,67,0,39,353,"1"" - 1-1/2""","CLASS 600 STEEL : SOCKETWELD",,
2315,67,0,42,,"2"" ONLY","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, SCHEDULE 160 BORE",,
2316,67,0,42,,"3"" - 24""","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, BORE TO MATCH PIPE",,
2317,67,0,43,,"1/2"" - 2""","SEAMLESS STEEL ASTM A106 GR B OR ASTM A53 GR B, ASME B36.10M : SCHEDULE 160",,
2318,67,0,43,,"3"" - 24""","SEAMLESS STEEL ASTM A53 GR B OR API 5L GR B, ASME B36.10M : CALCULATE WALL THICKNESS (STD WEIGHT MINIMUM)",,
2319,67,0,48,,"1/2"" - 1-1/2""","STEEL ASTM A105 ANSI B16.11 : ROUND HEAD SOLID, SCREWED",,
2320,67,0,49,,"ALL","SEE DWG APCO-DWG-P-38 IN ENGINEERING STD. 202 (C.P. ONLY). FOR LAR, SEE DWG I-24502, PAGES I-14 THRU I-22.",,
2321,67,0,56,,"ALL","SEE DWG APCO-DWG-P-30 IN ENGINEERING STD. 202",,
2322,67,0,61,348,"2"" - 16""","CLASS 600 STEEL : RAISED FACE FLANGED",,
2323,67,0,65,,"ALL","NOT ALLOWED - USE FLANGES",,
2324,67,0,66,,"ALL","SEE DWG APCO-DWG-P-37 IN ENGINEERING STD. 202",,
2325,68,0,4,412,"1/2""-1-1/2""","CLASS 800 STEEL, BOLTED BONNET : SOCKETWELD API 602",,
2326,68,0,4,413,"1/2""-1-1/2""","CLASS 800 STEEL, BOLTED BONNET : SOCKETWELD/SCREWED API 602",,
2327,68,0,4,266,"1/2""-1-1/2""","CLASS 600 STEEL : RAISED FACE FLGD. API 602",,
2328,68,0,4,266,"2"" ONLY","CLASS 600 STEEL : RAISED FACE FLANGED",,
2329,68,0,5,439,"1/2""-1-1/2""","CLASS 800 STEEL, BOLTED BONNET : SOCKETWELD",,
2330,68,0,5,314,"2"" ONLY","CLASS 600 STEEL : RAISED FACE FLANGED",,
2331,68,0,6,,"ALL","ASTM A193, B7 STUD, WITH 2 HEAVY HEXNUTS ASTM A194, GR 2H",,
2332,68,0,7,,"ALL","SEE CHART BC-9",,
2333,68,0,10,327,"2"" - 12""","CLASS 600 STEEL : SWING, RAISED FACE FLANGED",,
2334,68,0,10,443,"1/2"" - 1-1/2""","CLASS 800 STEEL, BOLTED CAP : HORIZONTAL LIFT, SOCKETWELD",,
2335,68,0,13,,"1/2"" - 1-1/2""","FORGED STEEL SOCKETWELD ASTM A105, ANSI B16.11 : CLASS 6000",,
2336,68,0,13,,"2"" ONLY","SEAMLESS STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : SCHEDULE 160",,
2337,68,0,13,,"3"" - 24""","SEAMLESS STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : WALL THICKNESS TO MATCH PIPE",,
2338,68,0,16,,"1/2"" - 1-1/2""","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.5 : SOCKETWELD, SCHEDULE 160 BORE",,
2339,68,0,16,,"2"" ONLY","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.5 : WELDING NECK, SCHEDULE 160 BORE",,
2340,68,0,16,,"3"" - 24""","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.5 : WELDING NECK, BORE TO MATCH PIPE",,
2341,68,0,16,,"1/2"" - 24""","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.5 : BLIND",,
2342,68,0,20,,"ALL","SPIRAL WOUND TYPE 304SS WITH FLEXIBLE GRAPHITE FILLER, 1/8"" THICK CENTERING RING",,
2343,68,0,21,231,"1/2"" - 1-1/2""","CLASS 600 STEEL : RAISED FACE FLANGED API 602",,
2344,68,0,21,241,"2"" & LARGER","CLASS 600 STEEL : RAISED FACE FLANGED API 600",,
2345,68,0,21,383,"1/2"" - 1-1/2""","CLASS 800 STEEL, BOLTED BONNET : SOCKETWELD API 602",,
2346,68,0,21,384,"1/2"" - 1-1/2""","CLASS 800 STEEL, BOLTED BONNET : SOCKETWELD/SCREWED API 602",,
2347,68,0,23,672,"3/4""","4000# - 6000# MALE SOCKETWELD END : STEEL BAR STOCK, 1/2"" FNPT SIDE OUTLETS, INTEGRAL BLEED VALVES",,
2348,68,0,24,291,"2"" - 12""","CLASS 600 STEEL : RAISED FACE FLANGED",,
2349,68,0,24,425,"1/2"" - 1-1/2""","CLASS 800 STEEL, BOLTED BONNET : SOCKETWELD",,
2350,68,0,39,349,"2"" - 8""","CLASS 600 STEEL : RAISED FACE FLANGED, TFE SEAT",,
2351,68,0,39,353,"1"" - 1-1/2""","CLASS 600 STEEL, BOLTED BONNET : SOCKETWELD",,
2352,68,0,42,,"2"" ONLY","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, SCHEDULE 160 BORE",,
2353,68,0,42,,"3"" - 24""","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, BORE TO MATCH PIPE",,
2354,68,0,43,,"1/2"" - 2""","SEAMLESS STEEL ASTM A106 GR B OR ASTM A53 GR B, ASME B36.10M : SCHEDULE 160",,
2355,68,0,43,,"3"" - 24""","SEAMLESS STEEL ASTM A53 GR B OR API 5L GR B, ASME B36.10M : CALCULATE WALL THICKNESS (STD WEIGHT MINIMUM)",,
2356,68,0,48,,"1/2"" - 1-1/2""","STEEL ASTM A105 ANSI B16.11 : ROUND HEAD SOLID, SCREWED",,
2357,68,0,49,,"ALL","SEE DWG APCO-DWG-P-38 IN ENGINEERING STD. 202 (C.P. ONLY). FOR LAR, SEE DWG I-24502, PAGES I-14 THRU I-22.",,
2358,68,0,56,,"ALL","SEE DWG APCO-DWG-P-30 IN ENGINEERING STD. 202",,
2359,68,0,65,,"ALL","NOT ALLOWED - USE FLANGES",,
2360,68,0,66,,"ALL","SEE DWG APCO-DWG-P-37 IN ENGINEERING STD. 202",,
2361,69,0,6,,"ALL","ASTM A193, B7 STUD, WITH 2 HEAVY HEXNUTS ASTM A194, GR 2H",,
2362,69,0,7,,"ALL","SEE CHART BC-9",,
2363,69,0,10,319,"2"" & LARGER","CLASS 600 STEEL : SWING, WELD-END (BORE TO MATCH PIPE)",,
2364,69,0,10,327,"2"" & LARGER","CLASS 600 STEEL : SWING, RAISED FACE FLANGED",,
2365,69,0,10,443,"1/2"" - 1-1/2""","CLASS 800 STEEL : HORIZONTAL LIFT, SOCKETWELD",,
2366,69,0,13,,"1/2"" - 1-1/2""","FORGED STEEL SOCKETWELD ASTM A105, ANSI B16.11 : CLASS 3000",,
2367,69,0,13,,"2"" - 6""","SEAMLESS STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : XS WEIGHT",,
2368,69,0,13,,"8"" - 24""","SEAMLESS STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : WALL THICKNESS TO MATCH PIPE",,
2369,69,0,16,,"1/2"" - 1-1/2""","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.5 : SOCKETWELD, XS BORE",,
2370,69,0,16,,"2"" - 6""","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.5 : WELDING NECK, XS BORE",,
2371,69,0,16,,"8"" - 24""","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.5 : WELDING NECK, BORE TO MATCH PIPE",,
2372,69,0,16,,"1/2"" - 24""","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.5 : BLIND",,
2373,69,0,20,,"ALL","SPIRAL WOUND TYPE 304SS WITH FLEXIBLE GRAPHITE FILLER, 1/8"" THICK CENTERING RING",,
2374,69,0,21,241,"2"" & LARGER","CLASS 600 STEEL : RAISED FACE FLANGED API 600",,
2375,69,0,21,258,"2"" & LARGER","CLASS 600 STEEL : WELD-END (BORE TO MATCH PIPE)",,
2376,69,0,21,379,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD API 602",,
2377,69,0,21,388,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD/SCREWED API 602",,
2378,69,0,23,672,"3/4""","6000# MALE SOCKETWELD END : STEEL BAR STOCK 1/2"" FNPT SIDE OUTLETS, INTEGRAL BLEED VALVE",,
2379,69,0,24,281,"2"" - 12""","CLASS 600 STEEL : WELD-END (BORE TO MATCH PIPE)",,
2380,69,0,24,291,"2"" - 12""","CLASS 600 STEEL : RAISED FACE FLANGED",,
2381,69,0,24,422,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD",,
2382,69,0,42,,"2"" - 6""","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, XS BORE",,
2383,69,0,42,,"8"" - 24""","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, BORE TO MATCH PIPE",,
2384,69,0,43,,"1/2"" - 1-1/2""","SEAMLESS STEEL ASTM A106 GR B OR ASTM A53 GR B, ASME B36.10M : XS WEIGHT",,
2385,69,0,43,,"2"" - 6""","SEAMLESS STEEL ASTM A53 GR B OR API 5L GR B, ASME B36.10M : XS WEIGHT",,
2386,69,0,43,,"8"" - 24""","SEAMLESS STEEL ASTM A53 GR B OR API 5L GR B, ASME B36.10M : CALCULATE WALL THICKNESS (STD WT MIN.)",,
2387,69,0,48,,"1/2"" - 1-1/2""","STEEL ASTM A105, ANSI B16.11 : ROUND HEAD SOLID, SCREWED",,
2388,69,0,49,,"ALL","SEE DWG APCO-DWG-P-38 IN ENGINEERING STD. 202 (C.P. ONLY). FOR LAR, SEE DWG I-24502, PAGES I-14 THRU I-22.",,
2389,69,0,52,,"3/4""","CLASS 600 PSIG ALLOY STEEL BODY ASTM A182 GR F11, SOCKETWELD WITH INTEGRAL STRAINER & BLOWDOWN VALVE : YARWAY SERIES 741 (FOR C.P. ONLY. FOR LAR, SEE DWG. P-0132-31305D)",,
2390,69,0,56,,"ALL","SEE DWG APCO-DWG-P-30 IN ENGINEERING STD. 202",,
2391,69,0,65,,"ALL","NOT ALLOWED - USE FLANGES",,
2392,69,0,66,,"ALL","SEE DWG APCO-DWG-P-37 IN ENGINEERING STD. 202",,
2393,70,0,6,,"ALL","ASTM A193, B7 STUD, WITH 2 HEAVY HEXNUTS ASTM A194, GR 2H",,
2394,70,0,7,,"ALL","SEE CHART BC-9",,
2395,70,0,10,319,"2"" & LARGER","CLASS 600 STEEL : SWING, WELD-END (BORE TO MATCH PIPE)",,
2396,70,0,10,333,"2"" & LARGER","CLASS 600 STEEL : SWING, RING JOINT FLANGED",,
2397,70,0,10,443,"1/2"" - 1-1/2""","CLASS 800 STEEL : HORIZONTAL LIFT, SOCKETWELD",,
2398,70,0,13,,"1/2"" - 1-1/2""","FORGED STEEL SOCKETWELD ASTM A105, ANSI B16.11 : CLASS 3000",,
2399,70,0,13,,"2"" - 6""","SEAMLESS STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : XS WEIGHT",,
2400,70,0,13,,"8"" - 24""","SEAMLESS STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : WALL THICKNESS TO MATCH PIPE",,
2401,70,0,16,,"1/2"" - 1-1/2""","CLASS 600 STEEL RING JOINT ASTM A105 ASME B16.5 : SOCKETWELD, XS BORE",,
2402,70,0,16,,"2"" - 6""","CLASS 600 STEEL RING JOINT ASTM A105 ASME B16.5 : WELDING NECK, XS BORE",,
2403,70,0,16,,"8"" - 24""","CLASS 600 STEEL RING JOINT ASTM A105 ASME B16.5 : WELDING NECK, BORE TO MATCH PIPE",,
2404,70,0,16,,"1/2"" - 24""","CLASS 600 STEEL RING JOINT ASTM A105 ASME B16.5 : BLIND",,
2405,70,0,20,,"ALL","SOFT IRON OVAL RING, ANSI B16.20",,
2406,70,0,21,235,"2"" & LARGER","CLASS 600 STEEL : RING JOINT FLANGED API 600",,
2407,70,0,21,258,"2"" & LARGER","CLASS 600 STEEL : WELD-END (BORE TO MATCH PIPE)",,
2408,70,0,21,379,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD API 602",,
2409,70,0,21,388,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD/SCREWED API 602",,
2410,70,0,23,672,"3/4""","6000# MALE SOCKETWELD END : STEEL BAR STOCK 1/2"" FNPT SIDE OUTLETS, INTEGRAL BLEED VALVE",,
2411,70,0,24,281,"2"" - 12""","CLASS 600 STEEL : WELD-END (BORE TO MATCH PIPE)",,
2412,70,0,24,285,"2"" - 12""","CLASS 600 STEEL : RING JOINT FLANGED",,
2413,70,0,24,422,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD",,
2414,70,0,42,,"2"" - 6""","CLASS 600 STEEL RING JOINT ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, XS BORE",,
2415,70,0,42,,"8"" - 24""","CLASS 600 STEEL RING JOINT ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, BORE TO MATCH PIPE",,
2416,70,0,43,,"1/2"" - 1-1/2""","SEAMLESS STEEL ASTM A106 GR B OR ASTM A53 GR B, ASME B36.10M : XS WEIGHT",,
2417,70,0,43,,"2"" - 6""","SEAMLESS STEEL ASTM A53 GR B OR API 5L GR B, ASME B36.10M : XS WEIGHT",,
2418,70,0,43,,"8"" - 24""","SEAMLESS STEEL ASTM A53 GR B OR API 5L GR B, ASME B36.10M : CALCULATE WALL THICKNESS (STD WT MIN.)",,
2419,70,0,48,,"1/2"" - 1-1/2""","STEEL ASTM A105, ANSI B16.11 : ROUND HEAD SOLID, SCREWED",,
2420,70,0,49,,"ALL","SEE DWG APCO-DWG-P-38 IN ENGINEERING STD. 202 (C.P. ONLY). FOR LAR, SEE DWG I-24502, PAGES I-14 THRU I-22.",,
2421,70,0,52,,"3/4""","CLASS 600 PSIG ALLOY STEEL BODY ASTM A182 GR F11, SOCKETWELD WITH INTEGRAL STRAINER & BLOWDOWN VALVE : YARWAY SERIES 741 (FOR C.P. ONLY. FOR LAR, SEE DWG. P-0132-31305D)",,
2422,70,0,56,,"ALL","SEE DWG APCO-DWG-P-30 IN ENGINEERING STD. 202",,
2423,70,0,65,,"ALL","NOT ALLOWED - USE FLANGES",,
2424,70,0,66,,"ALL","SEE DWG APCO-DWG-P-37 IN ENGINEERING STD. 202",,
2425,71,0,6,,"ALL","ASTM A193, B7 STUD, WITH 2 HEAVY HEXNUTS ASTM A194, GR 2H",,
2426,71,0,7,,"ALL","SEE CHART BC-9",,
2427,71,0,10,327,"2"" & LARGER","CLASS 600 STEEL : SWING, RAISED FACE FLANGED",,
2428,71,0,10,319,"2"" & LARGER","CLASS 600 STEEL : SWING, WELD-END (BORE TO MATCH PIPE)",,
2429,71,0,10,443,"1/2"" - 1-1/2""","CLASS 800 STEEL : HORIZONTAL LIFT, SOCKETWELD",,
2430,71,0,13,,"1/2"" - 1-1/2""","FORGED STEEL SOCKETWELD ASTM A105, ANSI B16.11 : CLASS 3000",,
2431,71,0,13,,"2"" - 6""","SEAMLESS STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : XS WEIGHT",,
2432,71,0,13,,"8"" - 24""","SEAMLESS STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : WALL THICKNESS TO MATCH PIPE",,
2433,71,0,16,,"1/2"" - 1-1/2""","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.5 : SOCKETWELD, XS BORE",,
2434,71,0,16,,"2"" - 6""","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.5 : WELDING NECK, XS BORE",,
2435,71,0,16,,"8"" - 24""","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.5 : WELDING NECK, BORE TO MATCH PIPE",,
2436,71,0,16,,"1/2"" - 24""","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.5 : BLIND",,
2437,71,0,20,,"ALL","SPIRAL WOUND TYPE 304SS WITH FLEXIBLE GRAPHITE FILLER, 1/8"" THICK CENTERING RING",,
2438,71,0,21,241,"2"" & LARGER","CLASS 600 STEEL : RAISED FACE FLANGED API 600",,
2439,71,0,21,258,"2"" & LARGER","CLASS 600 STEEL : WELD-END (BORE TO MATCH PIPE)",,
2440,71,0,21,379,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD API 602",,
2441,71,0,21,388,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD/SCREWED API 602",,
2442,71,0,23,672,"3/4""","6000# MALE SOCKETWELD END : STEEL BAR STOCK 1/2"" FNPT SIDE OUTLETS, INTEGRAL BLEED VALVE",,
2443,71,0,24,291,"2"" - 12""","CLASS 600 STEEL : RAISED FACE FLANGED",,
2444,71,0,24,281,"2"" - 12""","CLASS 600 STEEL : WELD-END (BORE TO MATCH PIPE)",,
2445,71,0,24,422,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD",,
2446,71,0,42,,"2"" - 6""","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, XS BORE",,
2447,71,0,42,,"8"" - 24""","CLASS 600 STEEL RAISED FACE ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, BORE TO MATCH PIPE",,
2448,71,0,43,,"1/2"" - 1-1/2""","SEAMLESS STEEL ASME SA106 GR B OR ASME SA53 GR B, ASME B36.10M, COLOR CODED MILL CERTS REQUIRED FOR ALL PIPE : XS WEIGHT",,
2449,71,0,43,,"2"" - 6""","SEAMLESS STEEL ASME SA53 GR B ASME B36.10M, COLOR CODED MILL CERTS REQUIRED FOR ALL PIPE : XS WEIGHT",,
2450,71,0,43,,"8"" - 24""","SEAMLESS STEEL ASME SA53 GR B ASME B36.10M, COLOR CODED MILL CERTS REQUIRED FOR ALL PIPE : CALCULATE WALL THICKNESS (STD WEIGHT MINIMUM)",,
2451,71,0,48,,"1/2"" - 1-1/2""","STEEL ASTM A105, ANSI B16.11 : ROUND HEAD SOLID, SCREWED",,
