id,class_code,archived,service,flange_rating,max_pressure,max_temp,corrosion_allow,piping_material,small_fitting,valve_body_material,valve_trim,gasket_material,gasket_bolting,instr_spec,comments,special_note,maintenance_note,created_at,updated_at
30,CH  ,0,"LUBE  OIL, SEAL OIL, OIL MIST SYSTEM",CL 150 RF,ASME B16.5,500F,NONE,304SS & GALV. CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STELL.,SPIRAL WND. GRAPHITE,B7 STUD,S-1,FLEX HOSE,"WELDED JOINTS DOWNSTREAM OF OIL FILTERS SHALL BE BUTTWELD RATHER  THEN SOCKETWELD, EXCEPT VALVES. THE ROOT PASS SHALL BE MADE WITH THE GAS TUNGSTEN ARC WELDING PROCESS.",,,
31,CJ  ,0,"WET CO2, RICH CO2 CONDENSATE, RICH CATACARB SOLUTION, SULFUR PLANT PROCESS GAS (LAR ONLY)",CL 150 RF,ASME B16.5,500F,"0.0625""",304LSS,CL 3000 SW,316SS,316SS/ STELL.,COMP. ASB./ GRAPH.,B7 STUD,S-4,,THIS LINE CLASS CAN BE USED FOR SULFUR PLANT PROCESS GAS TO 850OF PROVIDED 	THAT SPIRAL WOUND GASKETS WITH FLEXIBLE GRAPHITE FILLER ARE USED.,,,
32,CJL ,0,"DEMINERALIZED WATER, DISPERSANT, BFW CHEMICALS, DEMINERALIZER, REGENERATION SOLUTIONS",CL 150 RF,ASME B16.5,200F,NONE,304LSS,CL 3000 SW,316SS,316SS/ STELL.,COMP. ASB./ GRAPH.,B7 STUD,S-4,,,,,
93,HAD ,0,HYDROCARBON LIQUID & VAPOR,CL 1500 RJ,ASME B16.5,750F,"0.0625""",CARBON STEEL,CL 6000 SW,CARBON STEEL,12 CR/ STEL,SOFT IRON OVAL RING,B7 STUD,S-2,,,"FOR VALVE REPLACEMENT, FIELD VERIFY EXISTING END-TO-END DIMENSION AND COMPARE WITH CURRENT DIMENSIONS OF APPROVED VALVES.",,
94,HC  ,0,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 1500 RJ,ASME B16.5,750F,"0.125""",1-1/4CR - 1/2 MO,CL 9000 SW,1-1/4CR - 1/2 MO,12 CR/ STEL,5CR - 1/2 MO OVAL RING,B7 STUD,S-2,PWHT FOR SERVICE,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,"FOR VALVE REPLACEMENT, FIELD VERIFY EXISTING END-TO-END DIMENSION AND 	COMPARE WITH CURRENT DIMENSIONS OF APPROVED VALVES.",,
95,HD  ,0,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 1500 RJ,ASME B16.5,750F,"0.125""",2-1/4CR - 1 MO,CL 9000 SW,2-1/4CR - 1 MO,12 CR/ STEL,5CR - 1/2 MO OVAL RING,B7 STUD,S-2,PWHT FOR SERVICE,ALL  PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD ) SHALL BE STRESS  RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,"FOR VALVE REPLACEMENT, FIELD VERIFY EXISTING END-TO-END DIMENSION AND 	COMPARE WITH CURRENT DIMENSIONS OF APPROVED VALVES.",,
96,HEG ,0,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 1500 RJ,ASME B16.5,750F,"0.125""",5CR - 1/2 MO,CL 9000 SW,5CR - 1/2 MO,12 CR/ STEL,5CR - 1/2 MO OVAL RING,B7 STUD,S-2,PWHT FOR SERVICE,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,"FOR VALVE REPLACEMENT, FIELD VERIFY EXISTING END-TO-END DIMENSION AND 	COMPARE WITH CURRENT DIMENSIONS OF APPROVED VALVES.",,
97,HH  ,0,"SEAL OIL, LUBE OIL",CL 1500 RJ,ASME B16.5,500F,NONE,304SS,CL 3000 SW,CARBON STEEL,12 CR/ STEL,SOFT IRON  OVAL RING,B7 STUD,S-2,FLEX HOSE,"WELDED JOINTS DOWNSTREAM OF OIL FILTERS SHALL BE BUTTWELD RATHER THAN SOCKETWELD, EXCEPT VALVES. THE ROOT PASS SHALL BE MADE WITH THE GAS TUNGSTEN ARC WELDING PROCESS.",,,
98,HPCV,0,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 1500 RJ,ASME B16.5,1000F,"0.125""",HF MODIFIED/ 321SS,CL 9000 SW,347SS,347SS/ STEL,347SS OVAL RING,B16 STUD,S-5,PWHT FOR SERVICE,"A.	  DRAIN AND LOW POINT PIPING 	         	MATERIALS FOR DRAIN AND LOW POINT PIPING SHALL BE INCOLOY ALLOY 825 FOR WELDOLET, SOCKOLET AND PIPE NIPPLE(S), AND 347 STAINLESS STEEL BLOCK VALVE (DOUBLE BLOCK). PIPING DOWNSTREAM OF THE SECOND BLOCK VALVE MAY BE 321 STAINLESS STEEL.  THE INCOLOY ALLOY 825 SHALL CONFORM TO THE FOLLOWING:  	PIPE:	SEAMLESS, INCOLOY ALLOY 825 (UNS N08225), ASTM B423, ANNEALED,      	   	PLAIN ENDS, ALLOWABLE STRESSES IN ACCORDANCE WITH ASME SECTION 		VIII DIV. 1 LATEST EDITION, CHEMICAL AND MECHANICAL PROPERTIES 		IN ACCORDANCE WITH THE INCO ALLOYS INTERNATIONAL PUBLICATION 		ENTITLED ""INCOLOY ALLOY 825"",  LATEST EDITION.    			 	1/2"" - 1-1/2""          SCHEDULE XXS 	2""  &  LARGER    CALC WALL THICKNESS 	 	FLANGES: CLASS 1500, RTJ, FORGED INCOLOY 825 (UNS N08225), ASTM B564, 			ANNEALED, ALLOWABLE STRESSES IN ACCORDANCE WITH INCO ALLOY 	INTERNATIONAL PUBLICATION ENTITLED ""INCOLOY ALLOY 825"", LATEST 	EDITION. THE FINISHED PRODUCT SHALL BE LIQUID PENETRANT 	EXAMINED ON ALL ACCESSIBLE SURFACES IN ACCORDANCE WITH ASTM  	RECOMMENDED PRACTICE E 165. 	 		1/2"" - 1-1/2""               SOCKETWELD, SCHEDULE 80S BORE 		2"" AND LARGER      WELD NECK, BORE TO MATCH PIPE  	WELDOLET/ 	SOCKOLET:	FORGED INCOLOY ALLOY 825  (UNS N08225), ASTM B564, ANNEALED,  ALLOWABLE STRESSES IN ACCORDANCE WITH ASME SECTION VIII, DIV. I, LATEST EDITION, CHEMICAL AND MECHANICAL PROPERTIES IN ACCORDANCE WITH THE INCO ALLOY INTERNATIONAL PUBLICATION ENTITLED ""INCOLOY ALLOY 825"", LATEST EDITION. THE FINISHED PRODUCT SHALL BE LIQUID PENETRANT EXAMINED ON ALL ACCESSIBLE SURFACES IN ACCORDANCE WITH ASTM RECOMMENDED PRACTICE E 165. 	 B.	 POSTWELD HEAT TREATMENT  	POSTWELD HEAT TREATMENT IS REQUIRED FOR 321SS PIPING BUTTWELDS (SW 	EXCLUDED), INCLUDING BUTTWELDS BETWEEN 321SS AND INCOLOY 825. BUTTWELDS 	BETWEEN PIPING AND 347SS VALVES, BETWEEN 347SS DRAIN VALVES AND INCOLOY 	825 PIPE AND ALL WELDS IN THE 321SS PIPING DOWNSTREAM OF THE DRAIN VALVES 	NEED NOT BE POSTWELD HEAT TREATED.          ","FOR VALVE REPLACEMENT, FIELD VERIFY EXISTING END-TO-END DIMENSION AND 	COMPARE WITH CURRENT DIMENSIONS OF APPROVED VALVES.",,
99,HQ  ,0,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 1500 RJ,ASME B16.5,1000F,"0.0625""",347SS,CL 6000 SW,347SS,347SS/ STEL,347SS OVAL RING,B16 STUD,S-5,PWHT FOR SERVICE,"A.	  DRAIN AND LOW POINT PIPING 	         	MATERIALS FOR DRAIN AND LOW POINT PIPING SHALL BE INCOLOY ALLOY 825 FOR WELDOLET, SOCKOLET  AND  PIPE NIPPLE(S), AND 347 STAINLESS STEEL BLOCK VALVE(S) (DOUBLE BLOCK). PIPING DOWNSTREAM OF THE SECOND BLOCK VALVE MAY BE 321 STAINLESS STEEL.  THE INCOLOY ALLOY 825 SHALL CONFORM TO THE FOLLOWING:  	PIPE:	SEAMLESS, INCOLOY ALLOY 825 (UNS N08225), ASTM B423, ANNEALED,      	   	PLAIN ENDS, ALLOWABLE STRESSES IN ACCORDANCE WITH ASME SECTION 		VIII, DIV. 1, LATEST EDITION, CHEMICAL AND MECHANICAL PROPERTIES 		IN ACCORDANCE WITH THE INCO ALLOYS INTERNATIONAL PUBLICATION 		ENTITLED ""INCOLOY ALLOY 825"",  LATEST EDITION.    			 	1/2"" - 1-1/2""          SCHEDULE 160 	2""  &  LARGER    CALC WALL THICKNESS 	 	FLANGES: CLASS 1500, RTJ, FORGED INCOLOY 825 (UNS N08225), ASTM B564, 			ANNEALED, ALLOWABLE STRESSES IN ACCORDANCE WITH  INCO ALLOY 	INTERNATIONAL PUBLICATION ENTITLED ""INCOLOY ALLOY 825"", LATEST 	EDITION. THE FINISHED PRODUCT SHALL BE LIQUID PENETRANT 	EXAMINED ON ALL ACCESSIBLE SURFACES IN ACCORDANCE WITH ASTM 	RECOMMENDED PRACTICE E 165. 	 		1/2"" - 1-1/2""              SOCKETWELD, SCHEDULE 160 BORE 		2"" AND LARGER      WELD NECK, BORE TO MATCH PIPE  	WELDOLET/ 	SOCKOLET:	FORGED INCOLOY ALLOY 825  (UNS N08225), ASTM B564, ANNEALED,  ALLOWABLE STRESSES IN ACCORDANCE WITH ASME SECTION VIII, DIV. I, LATEST EDITION, CHEMICAL AND MECHANICAL PROPERTIES IN ACCORDANCE WITH THE INCO ALLOY INTERNATIONAL PUBLICATION ENTITLED ""INCOLOY ALLOY 825"", LATEST EDITION. THE FINISHED PRODUCT SHALL BE LIQUID PENETRANT EXAMINED ON ALL ACCESSIBLE SURFACES IN ACCORDANCE WITH ASTM RECOMMENDED PRACTICE E 165. 	 B.	 POSTWELD HEAT TREATMENT  	POSTWELD HEAT TREATMENT IS REQUIRED FOR 321SS PIPING BUTTWELDS (SW 	EXCLUDED), INCLUDING BUTTWELDS BETWEEN 321SS AND INCOLOY 825. BUTTWELDS 	BETWEEN PIPING AND 347SS VALVES, BETWEEN 347SS DRAIN VALVES AND INCOLOY 	825 PIPE AND ALL WELDS IN THE 321SS PIPING DOWNSTREAM OF THE DRAIN VALVES 	NEED NOT BE POSTWELD HEAT TREATED.   ",,,
100,JAC ,0,HYDROCARBON LIQUID & VAPOR,CL 2500 RJ,ASME B16.5,750F,"0.125""",CARBON STEEL,CL 9000 SW,CARBON STEEL,12 CR/ STEL,SOFT IRON OVAL RING,B7 STUD,S-2,,,"A.	EXISTING PLUG VALVES SHOULD BE REPLACED WITH ORBIT VALVES. 				 B.	FOR VALVE REPLACEMENT, FIELD VERIFY EXISTING END-TO-END DIMENSION AND COMPARE WITH CURRENT DIMENSIONS OF APPROVED VALVES.",,
101,JPCV,0,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 2500 RJ,ASME B16.5,1000F,"0.125""",HF MODIFIED/ 321SS,CL 9000 SW,347SS,347SS/ STEL,347SS OVAL RING,B16 STUD,S-5,PWHT FOR SERVICE,"A.	  DRAIN AND LOW POINT PIPING 	         	MATERIALS FOR DRAIN AND LOW POINT PIPING SHALL BE INCOLOY ALLOY 825 FOR WELDOLET, SOCKOLET, AND PIPE NIPPLE(S), AND 347 STAINLESS STEEL BLOCK VALVE(S) (DOUBLE BLOCK). PIPING DOWNSTREAM OF THE SECOND BLOCK VALVE MAY BE 321 STAINLESS STEEL.  THE INCOLOY ALLOY 825 SHALL CONFORM TO THE FOLLOWING:  	PIPE:	SEAMLESS, INCOLOY ALLOY 825 (UNS N08225), ASTM B423, ANNEALED,      	   	PLAIN ENDS, ALLOWABLE STRESSES IN ACCORDANCE WITH ASME SECTION 		VIII, DIV. 1, LATEST EDITION, CHEMICAL AND MECHANICAL PROPERTIES 		IN ACCORDANCE WITH THE INCO ALLOYS INTERNATIONAL PUBLICATION 		ENTITLED ""INCOLOY ALLOY 825"",  LATEST EDITION.    			 	1/2"" - 1-1/2""          SCHEDULE XXS 	2""  &  LARGER    CALC WALL THICKNESS 	 	FLANGES: CLASS 1500, RTJ, FORGED INCOLOY 825 (UNS N08225), ASTM B564, 			ANNEALED, ALLOWABLE STRESSES IN ACCORDANCE WITH  INCO ALLOY 	INTERNATIONAL PUBLICATION ENTITLED ""INCOLOY ALLOY 825"", LATEST 	EDITION. THE FINISHED PRODUCT SHALL BE LIQUID PENETRANT 	EXAMINED ON ALL ACCESSIBLE SURFACES IN ACCORDANCE WITH ASTM 	RECOMMENDED PRACTICE E 165. 	 		1/2"" - 1-1/2""               WELD NECK, SCHEDULE XXS BORE 		2"" AND LARGER      WELD NECK, BORE TO MATCH PIPE  	WELDOLET/ 	SOCKOLET:	FORGED INCOLOY ALLOY 825  (UNS N08225), ASTM B564, ANNEALED,  ALLOWABLE STRESSES IN ACCORDANCE WITH ASME SECTION VIII, DIV. I, LATEST EDITION, CHEMICAL AND MECHANICAL PROPERTIES IN ACCORDANCE WITH THE INCO ALLOY INTERNATIONAL PUBLICATION ENTITLED ""INCOLOY ALLOY 825"", LATEST EDITION. THE FINISHED PRODUCT SHALL BE LIQUID PENETRANT EXAMINED ON ALL ACCESSIBLE SURFACES IN ACCORDANCE WITH ASTM RECOMMENDED PRACTICE E 165. 	 B.	 POSTWELD HEAT TREATMENT  	POSTWELD HEAT TREATMENT IS REQUIRED FOR 321SS PIPING BUTTWELDS (SW 	EXCLUDED), INCLUDING BUTTWELDS BETWEEN 321SS AND INCOLOY 825. WELDS 	BETWEEN PIPING AND 347SS VALVES, BETWEEN 347SS DRAIN VALVES AND INCOLOY 	825 PIPE AND ALL WELDS IN THE 321SS PIPING DOWNSTREAM OF THE DRAIN VALVES 	NEED NOT BE POSTWELD HEAT TREATED.         ","FOR VALVE REPLACEMENT, FIELD VERIFY EXISTING END-TO-END DIMENSION AND COMPARE WITH CURRENT DIMENSIONS OF APPROVED VALVES.",,
102,JQ  ,0,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 2500 RJ,ASME B16.5,1000F,"0.0625""",321SS,CL 9000 SW,347SS,347SS/ STEL,347SS OVAL RING,B16 STUD,S-5,PWHT FOR SERVICE,"A.	  DRAIN AND LOW POINT PIPING 	         	MATERIALS FOR DRAIN AND LOW POINT PIPING SHALL BE INCOLOY ALLOY 825 FOR WELDOLET, SOCKOLET, AND PIPE NIPPLE(S), AND 347 STAINLESS STEEL BLOCK VALVE(S) (DOUBLE BLOCK). PIPING DOWNSTREAM OF THE SECOND BLOCK VALVE MAY BE 321 STAINLESS STEEL.  THE INCOLOY ALLOY 825 SHALL CONFORM TO THE FOLLOWING:  	PIPE:	SEAMLESS, INCOLOY ALLOY 825 (UNS N08225), ASTM B423, ANNEALED,      	   	PLAIN ENDS, ALLOWABLE STRESSES IN ACCORDANCE WITH ASME SECTION 		VIII, DIV. 1, LATEST EDITION, CHEMICAL AND MECHANICAL PROPERTIES 		IN ACCORDANCE WITH THE INCO ALLOYS INTERNATIONAL PUBLICATION 		ENTITLED ""INCOLOY ALLOY 825"",  LATEST EDITION.    			 	1/2"" - 1-1/2""          SCHEDULE XXS 	2""  &  LARGER    CALC WALL THICKNESS 	 	FLANGES: CLASS 1500, RTJ, FORGED INCOLOY 825 (UNS N08225), ASTM B564, 			ANNEALED, ALLOWABLE STRESSES IN ACCORDANCE WITH  INCO ALLOY 	INTERNATIONAL PUBLICATION ENTITLED ""INCOLOY ALLOY 825"", LATEST 	EDITION. THE FINISHED PRODUCT SHALL BE LIQUID PENETRANT 	EXAMINED ON ALL ACCESSIBLE SURFACES IN ACCORDANCE WITH ASTM 	RECOMMENDED PRACTICE E 165. 	 		1/2"" - 1-1/2""               WELD NECK, SCHEDULE XXS BORE 		2"" AND LARGER      WELD NECK, BORE TO MATCH PIPE  	WELDOLET/ 	SOCKOLET:	FORGED INCOLOY ALLOY 825  (UNS N08225), ASTM B564, ANNEALED,  ALLOWABLE STRESSES IN ACCORDANCE WITH ASME SECTION VIII, DIV. I, LATEST EDITION, CHEMICAL AND MECHANICAL PROPERTIES IN ACCORDANCE WITH THE INCO ALLOY INTERNATIONAL PUBLICATION ENTITLED ""INCOLOY ALLOY 825"", LATEST EDITION. THE FINISHED PRODUCT SHALL BE LIQUID PENETRANT EXAMINED ON ALL ACCESSIBLE SURFACES IN ACCORDANCE WITH ASTM RECOMMENDED PRACTICE E 165. 	 B.	 POSTWELD HEAT TREATMENT  	POSTWELD HEAT TREATMENT IS REQUIRED FOR 321SS PIPING BUTTWELDS (SW 	EXCLUDED), INCLUDING BUTTWELDS BETWEEN 321SS AND INCOLOY 825. BUTTWELDS 	BETWEEN PIPING AND 347SS VALVES, BETWEEN 347SS DRAIN VALVES AND INCOLOY 	825 PIPE AND ALL WELDS IN THE 321SS PIPING DOWNSTREAM OF THE DRAIN VALVES 	NEED NOT BE POSTWELD HEAT TREATED.           ","FOR VALVE REPLACEMENT, FIELD VERIFY EXISTING END-TO-END DIMENSION AND 	COMPARE WITH CURRENT DIMENSIONS OF APPROVED VALVES.",,
103,S-1 ,0,INSTRUMENT PIPING DOWNSTREAM OF FIRST BLOCK VALVE FOR CLASS 150 THRU 600 CARBON STEEL  CLASSES,SEE COMPONENT SPECS,SEE APPLICABLE LINE CLASS,450F FOR VALVES,N/A,316SS,CL 3000 SCREWED,316SS/CS,316SS,N/A,,N/A,,,,,
104,S-2 ,0,INSTRUMENT PIPING DOWNSTREAM OF FIRST BLOCK VALVE FOR CLASS 900 THRU 2500 CARBON STEEL  CLASSES,SEE COMPONENT SPECS,3000 PSIG,450F FOR VALVES,N/A,316SS,CL 3000 SCREWED,316SS/CS,316SS,N/A,,N/A,,,,,
105,S-3 ,0,INSTRUMENT PIPING DOWNSTREAM OF FIRST BLOCK VALVE FOR CLASS 150 THRU 600 ALLOY 20  CLASSES,SEAMLESS ALLOY 20,SEE APPLICABLE LINE CLASS,450F FOR VALVES,N/A,ALLOY 20,CL 3000 SCREWED,ALLOY 20,ALLOY 20,N/A,,N/A,,,,,
106,S-4 ,0,INSTRUMENT PIPING DOWNSTREAM OF FIRST BLOCK VALVE FOR CLASS 150 THRU 600 LOW ALLOY &  STAINLESS STEEL CLASSES,SEE COMPONENT SPECS,SEE APPLICABLE LINE CLASS,450F FOR VALVES,N/A,316SS,CL 3000 SCREWED,316SS,316SS,N/A,,N/A,,,,,
107,S-5 ,0,INSTRUMENT PIPING DOWNSTREAM OF FIRST BLOCK VALVE FOR CLASS 900 THRU 2500 LOW ALLOY & STAINLESS STEEL  CLASSES,SEE  COMPONENT SPECS,3000 PSIG,450F FOR VALVES,N/A,316SS,CL 3000 SCREWED,316SS,316SS,N/A,,N/A,,,,,
108,S-7 ,0,HEAT TRACING FOR INSTRUMENTS,NONE,SEE LINE CLASS,,NONE,N/A,N/A,N/A,N/A,N/A,,N/A,,,,,
109,S-8 ,0,INSTRUMENT AIR SUPPLY PIPING DOWNSTREAM OF FIRST AIR HEADER BLOCK VALVE,CL 200 BRONZE,400 PSIG,300F,NONE,GALV. CARBON STEEL,CL 300 M.I.,SS/BRONZE,SS/ BRONZE,N/A,,N/A,,,,,
110,BW,1,EFFLUENT WATER (UNDERGROUND),,,,,,,,,,,,,,USE CLASS CAM,,
111,BZ,1,"CHEM INJECTION, FLOCCULANT, 90% H2SO4, DISPERSANT, SODIUM BROMIDE",,,,,,,,,,,,,,USE  CLASS CX  FOR ACID AND CLASS CY FOR WATER TREATMENT CHEMICALS,,
112,CA2,1,LEAD ANTI-KNOCK COMPOUNDS,,,,,,,,,,,,,,NO EQUIVALENT. THIS SERVICE NO LONGER REQUIRED.,,
113,CAF,1,HYDROCARBON LIQUID & VAPOR (501F TO 750F) DEA (TO 260F),,,,,,,,,,,,,,USE CLASS CAD FOR HYDROCARBON LIQUID & VAPOR AND CLASS CAC3 FOR DEA,,
114,CAG,1,HYDROCARBON LIQUID & VAPOR,,,,,,,,,,,,,,USE CLASS CAD,,
115,CAOW,1,"WHARF OFFSITE: CRUDE, JET FUEL, BALLAST, BUNKER FUEL OIL, EFFLUENT WATER",,,,,,,,,,,,,,USE CLASS CAO,,
116,CAR,1,HYDROCARBON LIQUID & VAPOR,,,,,,,,,,,,,,USE CLASS CAD,,
117,CAT,1,HYDROCARBON LIQUID & VAPOR (HC BLOWDOWN - COKER UNIT),,,,,,,,,,,,,,USE CLASS CE,,
118,CAU,1,"HYDROCARBON LIQUID & VAPOR, SOUR GAS,SOUR WATER, HYDROCARBON LIQUID & VAPOR",,,,,,,,,,,,,,USE CLASS CAC; CLASS CACN FOR SOUR GAS AND SOUR WATER,,
119,CAW,1,"LEAN & SEMI-LEAN CATACARB, CAUSTIC 50% TO 100F,  NH3 SOUR WATER, RICH DEA (W/ H2S)",,,,,,,,,,,,,,"USE CLASS CAW3 FOR LEAN & SEMI-LEAN CATACARB, CAC3 FOR CAUSTIC, CACN FOR SOUR WATER AND DEA AND CA FOR AMMONIA",,
120,CAZ,1,CATACARB VAPORS FROM PROCESS REBOILER (CO2 REMOVAL UNIT),,,,,,,,,,,,,,USE CLASS CAW3,,
121,CEA,1,CORROSIVE HYDROCARBON LIQUID & VAPOR,,,,,,,,,,,,,,USE CLASS CE,,
122,CEG,1,CORROSIVE HYDROCARBON LIQUID & VAPOR,,,,,,,,,,,,,,USE CLASS CE,,
123,CFB,1,CORROSIVE HYDROCARBON,,,,,,,,,,,,,,USE CLASS CFA,,
124,CFV,1,CORROSIVE HYDROCARBON LIQUID & VAPOR,,,,,,,,,,,,,,USE CLASS CFA,,
125,CFVJ,1,CORROSIVE HYDROCARBON LIQUID & VAPOR,,,,,,,,,,,,,,USE CLASS CFA,,
126,CHL,1,"DEMINERALIZED WATER, DISPERSANT, BFW CHEMICALS, DEMINERALIZER REGENERATION SOLUTIONS",,,,,,,,,,,,,,USE CLASS CJL,,
127,CJG,1,RICH CATACARB SOLUTION AT CONTROL VALVE TO REGENERATOR (14-1103),,,,,,,,,,,,,,USE CLASS CJ,,
128,CN,1,"WET ELECTROSTATIC PRECIPITATOR LIQUID, CHEMICAL MIXTURES",,,,,,,,,,,,,,NONE; SPECIALTY ENGINEERED ITEM,,
129,CSL,1,"SULFURIC ACID, COOLING WATER INHIBITOR, HIGHLY CORROSIVE AQUEOUS SOLUTIONS",,,,,,,,,,,,,,USE CLASS CX FOR SULFURIC ACID AND CY FOR COOLING WATER INHIBITOR,,
130,DAF,1,"HYDROCARBON LIQUID & VAPOR (STABILIZER BOTTOMS) (501F TO 750F), DEA (TO 260F)",,,,,,,,,,,,,,USE CLASS DAD FOR HYDROCARBON LIQUID & VAPORS; CLASS DAC3 FOR DEA,,
131,DAG,1,HYDROCARBON LIQUID & VAPOR,,,,,,,,,,,,,,USE CLASS DAD,,
132,DAR,1,HYDROCARBON LIQUID & VAPOR,,,,,,,,,,,,,,USE CLASS DAD,,
133,DAS,1,BOILER EXTERNAL PIPING (ANSI B31.1): BLOW-DOWN SERVICE,,,,,,,,,,,,,,USE CLASS DAP,,
134,DAV,1,HYDROCARBONS: COKE DRUM CONTINUOUS PROCESS,,,,,,,,,,,,,,USE CLASS DE,,
135,DAVJ,1,HYDROCARBONS: CYCLIC PORTION OF COKE DRUM,,,,,,,,,,,,,,USE CLASS DCD,,
136,DAW,1,LEAN & SEMI-LEAN CATACARB,,,,,,,,,,,,,,USE CLASS DAW3,,
137,DAZ,1,RICH CATACARB SOLUTION (ABSORBER BOTTOMS - CO2 REMOVAL UNIT),,,,,,,,,,,,,,USE CLASS DAW3,,
138,DCA,1,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),,,,,,,,,,,,,,USE CLASS DC,,
139,DEG,1,CORROSIVE HYDROCARBON LIQUID & VAPOR,,,,,,,,,,,,,,USE CLASS DE,,
140,DEV,1,HYDROCARBONS: COKE DRUM CONTINUOUS PROCESS,,,,,,,,,,,,,,USE CLASS DE,,
141,DEVJ,1,HYDROCARBON VAPORS: CYCLIC PORTION OF COKE DRUM OVERHEAD LINE,,,,,,,,,,,,,,USE CLASS DEA,,
142,DHA,1,PROCESS CONDENSATE FROM CO2 REMOVAL UNIT,,,,,,,,,,,,,,USE CLASS DJ,,
143,DK2,1,"PROTO FUEL, ANALYZER SAMPLE",,,,,,,,,,,,,,"USE CLASS S-4; INCREASE SIZE TO 1.5 NPS""",,
144,FAR,1,HYDROCARBONS: INTERMITTENT COKER SERVICE,,,,,,,,,,,,,,USE CLASS FCA,,
145,FAS,1,BOILER EXTERNAL PIPING (ANSI B31.1): BLOW-DOWN SERVICE,,,,,,,,,,,,,,USE CLASS FAP,,
146,FCP,1,BOILER EXTERNAL PIPING (ANSI B31.1): SUPERHEATED STEAM,,,,,,,,,,,,,,USE CLASS FCD,,
147,FCX,1,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),,,,,,,,,,,,,,USE CLASS FC,,
148,FH,1,BFW CHEMICALS,,,,,,,,,,,,,,USE CLASS FJL,,
149,FL,1,CHEMICAL INJECTION INTO BFW (CALCINER),,,,,,,,,,,,,,USE CLASS FJL,,
150,GAG,1,"H2 OR H2HC MIXTURES (TO 500F) (H2 PARTIAL PRESSURE 50 PSIA OR GREATER), HYDROCARBON LIQUID & VAPOR (TO 750F)",,,,,,,,,,,,,,USE CLASS GAC,,
151,GG,1,H2 OR H2HC MIXTURES (DIESEL HDS REACTOR EFFLUENT) (H2 PARTIAL PRESSURE  50 PSIA OR GREATER),,,,,,,,,,,,,,USE CLASS GQ,,
152,HAF,1,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER) HYDROCARBON LIQUID & VAPOR,,,,,,,,,,,,,,USE CLASS HAC,,
153,HAG,1,"INTERMITTENT SERVICE:  REACTOR BYPASS (HC + H2HC MIXTURES) (TO 725F), H2 REGENERATION & ACTIVATION (TO 850F)",,,,,,,,,,,,,,USE LINE CLASS HAC,,
