Class_Code,Service,Flange_Rating,Max_Pressure,Max_Temp,Corrosion_Allow,Piping_Material,Small_Fitting,Valve_Body_Mtl,Valve_Trim,Gasket_Material,Gasket_Bolting,Instr_Spec,Comments,Last_Updt_Id,Last_Updt_date,Special_Note,Maintenance_Note
CJB2,LIGHT HYDROCARBONS,CL 150 RF,ASME B16.5,-130F TO 650F,NONE,304LSS,CL 3000 SW,316SS,316SS/ STELL.,SPIRAL WOUND,L7 STUD,S-04, ,,2008-1-12,"A. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.",
CJC ,Aqueous Ammonia (10-30%),CL150 RF,ASME B16.5,500F,"0.0625""",304L SS,"CL 3,000 SW",316SS,316SS/ STELL.,CMG,B7,S-4, ,,2008-4-29,"A.  NO COPPER OR COPPER BEARING ALLOYS PERMITTED.  B.  GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT.  IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.",
CJL ,"DEMIN. H2O, DISPERSANT, BFW CHEM., DEMINERALIZER, REGEN. SOLUTIONS, ADDITIVES, FILTERED N2, PELLET H2O, FLARE/VENTS, LOW PRESS. AIR",CL 150 RF,ASME B16.5,200F,NONE,304LSS,CL 3000 SW,316SS,316SS/ STELL.,CMG,B7 STUD,S-04, ,,2008-1-12,"A. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.",
CK  ,"ATMOSPHERIC CRUDE, RESID",CL 150 RF,ASME B16.5,850F MAX.,"0.0313""",317L SS,CL 3000 SW,317SS,317SS/ STELL.,SPIRAL WOUND,B7 STUD, , ,,2009-1-27,"1.  PIPING INSTALLED FROM 1999 TO 2008 MAY HAVE BEEN DESIGNATED CLASS CW.  2.  GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.",
CKA ,CRUDE-NAPHTHENIC ACID CORROSION MITIGATION, , , , , , , , , , , ,PLACE HOLDER,,2009-2-12,PLACE HOLDER NOTE TO ADVISE USERS IN GENERAL,
CL  ,FLUE GAS DESULFURIZATION STREAMS (FGDS),CL 150 RF,ASME B16.5,200F,"0.0313""",316L SS,CL 3000 SW,316SS,316SS/ STELL.,CMG,B7 STUD,S-04, ,,2008-1-12,"A. EXISTING INSTALLATION MAY HAVE BEEN MADE WITH PIPING THINNER THAN SCH 40S. FIELD VERIFY PIPE THICKNESS PRIOR TO HOT TAPPING OR TYING INTO THOSE EXISTING LINES.  B. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.",MINIMUM PIPE WALL THICKNESS SPECIFIED IN THIS LINE CLASS IS SCHEDULE 40S. EXISTING INSTALLATION MAY HAVE BEEN MADE WITH PIPING THINNER THAN SCHEDULE 40S. FIELD VERIFY THICKNESS PRIOR TO HOT TAPPING OR TYING INTO THOSE EXISTING PIPING SYSTEM.
CLA ,"HGO (HEAVY GAS OIL), ATMOSPHERIC CRUDE, RESID, TAIL GAS STREAMS",CL 150 RF,ASME B16.5,750F MAX.,"0.0313""",316L SS,CL 3000 SW,316SS,316SS/ STELL.,CMG / SPIRAL WOUND,B7 STUD,S-04,(1) ORIGINAL CONSTRUCTION WAS WITH SPIRAL WOUND GASKETS. (2) SEE NOTE 169 FOR SPIRAL WOUND GASKET USE.,,2008-1-12,"A.  GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.                                                                                                                                                                                                                                                                                                              B.  GASKETS FOR THIS PIPE CLASS WERE ORIGINALLY SPECIFIED AS SPIRAL WOUND TYPE ONLY.  EXISTING SPIRAL WOUND GASKETS MAY BE REPLACED IN LIKE KIND IF NECESSARY FOR FLANGE FIT UP OR TO MAINTAIN MACHINERY ALIGNMENT.",
CLB ,ABOVE GROUND POTABLE WATER,CL 150 RF,ASME B16.5,200F,"0.03""",316L SS,CL 3000 SCREWED,316SS,316SS,CMG,B7 STUD,S-04, ,,2009-2-10,"A. A FLANGED TRANSITION SPOOL, TO CLASS CLB, SHALL BE USED BETWEEN ABOVE GROUND CLB PIPING AND UNDERGOUND BW1 PIPING.  THE TOP FLANGE PAIR (ABOVE GROUND) SHALL INCORPORATE AN ISOLATION KIT.  THE BOTTOM FLANGE PAIR (UNDER GROUND) SHALL USE STAINLESS STEEL FASTENERS (ASTM A193 GRB8M BOLTS AND A194 GR8 NUTS), AND SHALL HAVE THE DUCTILE IRON BACKUP RING WRAPPED FOR CORROSION PROTECTION.    B. CLB IS ALSO APPROVED FOR UNDER GROUND USE IN SIZES 3/4"" AND 1"" DIAMETER.  FOR UNDER GROUND SERVICE, SOCKET WELD FITTINGS ARE PREFERRED OVER SCREWED FITTINGS. ALL SCREWED FITTINGS ARE TO BE SEAL WELDED PER DRAWING P_19 FROM SPEC 202, AND ARE ONLY ALLOWED FOR CONNECTION TO SCREWED EQUIPMENT.   C.  SEE DEPARTMENT OF HEALTH WATER SYSTEM DESIGN MANUAL (AT www.doh.wa.gov) FOR ADDITIONAL REQUIREMENTS SUCH AS SEPARATION AND EMBEDMENT.","1.  ONLY THE FOLLOWING MAINTENANCE ITEMS PERMITTED.    A.  INSTALLATION OF VALVES, FITTINGS, AND METERS, INCLUDING BACKFLOW PREVENTION ASSEMBLIES.      B.  REPAIR OF A SYSTEM COMPONENT OR REPLACEMENT WITH A COMPONENT OF A SIMILAR CAPACITY AND MATERIAL IN ACCORDANCE WITH THE ORIGINAL CONSTRUCTION SPECIFICATIONS OF THE APPROVED DESIGN.  FOR THE PURPOSES OF REPLACING EXISTING PIPE, SIMILAR CAPACITY INCLUDES ONE STANDARD PIPE SIZE LARGER.      C. MAINTENANCE OR PAINTING OF SURFACES NOT CONTACTING POTABLE WATER.      D.  CONTACT MAINTENANCE RELIABILITY FOR OTHER REPAIRS. "
CNA ,"FLUID SERVICE CONTAINING 5% CAUSTIC, SODIUM-SULFITE/BISULFITE W/PH RANGE OF 4 TO 8, WITH UP TO 5% SOLIDS, GROUND WATER REMEDIATION (UNDERGROUND AND ABOVEGROUND)",CL 150 FF,100 PSI MAX.,200F MAX.,NONE,FRP,NONE,DUCTILE IRON/CARBON STEEL/FRP,POLYMERS,RUBBER,A307/B,NONE,"FOR CPVC MATERIALS, USE CLASS AV",,2002-11-12,"A. DUE TO THE FLEXIBILITY OF FRP PIPE, SPECIAL ATTENTION IS TO BE GIVEN TO PIPE ANCHORS, RESTRAINTS, GUIDES, AND ABOVE GRADE  SUPPORT SPACING.  B. THIS LINE CLASS IS TO BE USED WITH DESIGN INTENT FOR ""SHOP FABRICATED"" SYSTEM LIMITING FIELD JOINTS TO A MINIMUM.  C. FIELD JOINTS: 2"" THRU 12"" PIPE, USE FIBERCAST SOCKET CPLG WITH WELDFAST CL200 ; 14"" THRU 24"", USE FIBERCAST BUTT & WRAP FIELD KIT.   D. DESIGN PACKAGE INFORMATION WILL INCLUDE OPERATING DATA TO ALLOW SUPPLIER TO PERFORM A FLUID TRANSIENT ANALYSIS TO ANALYZE FOR DYNAMIC CONSIDERATIONS AND ADD ADDITIONAL REINFORCEMENT WHERE REQUIRED.",ORIGINAL CNA CLASS INCLUDED CPVC MATERIALS. USE CLASS AV FOR THIS MATERIAL FOR GRAVITY DRAINS AND CLASS CX FOR PRESSURIZED APPLICATIONS.
CSK ,CORROSIVE WATER,CL 150 RF,150 PSIG,275F,"LINED:NONE; UNLINED: 0.125""",CARBON STEEL LINED,CL 6000 SCREWED,CARBON STEEL,12 CR/ STELL.,BUNA-N RUBBER,B7 STUD,S-04, ,,2008-1-12,"A. ALL LINED PIPE AND LINED FITTINGS SHALL BE IDENTIFIED BY THE MANUFACTURER WITH A PERMANENTLY AFFIXED ""BLACK"" NYLON BAND.  B. GASKETS ARE REQUIRED ONLY WHEN MATING PIPE OR FITTINGS AGAINST UNLINED FLANGE FACINGS.  C. USE SPACERS FOR MAKE-UP CONNECTION BETWEEN LINED PIPE AND ALL OTHER TYPES OF FLANGED PIPING AND EQUIPMENT.",
CSP ,CORROSIVE WATER,CL 150 RF,150 PSIG,225F,"LINED: NONE; UNLINED: 0.125""",CARBON STEEL LINED,CL 6000 SCREWED,CARBON STEEL,12 CR/ STELL.,BUNA-N RUBBER,B7 STUD,S-04, ,,2008-1-12,"A. ALL LINED PIPE AND LINED FITTINGS SHALL BE IDENTIFIED BY THE MANUFACTURER WITH PERMANENTLY AFFIXED ""BLACK"" NYLON BAND.  B. GASKETS ARE REQUIRED ONLY WHEN MATING PIPE OR FITTINGS AGAINST UNLINED FLANGE FACINGS.  C. USE SPACERS FOR MAKE-UP CONNECTION BETWEEN LINED PIPE AND ALL OTHER TYPES OF FLANGED PIPING AND EQUIPMENT.",
CX  ,"SULFURIC ACID LESS THAN 90% CONCENTRATION, COMMON CAUSTIC AND ACID LINE",CL 150 RF,150 PSIG,300F,"0.050""",ALLOY 20,CL 3000 SW,ALLOY 20,ALLOY 20,KLINGER-TOP CHEM 2000,B7 STUD,S-03, ,,2008-1-12,A. THE WELD ROOT PASS FOR BUTTWELDS SHALL BE MADE WITH THE GAS TUNGSTEN  ARC WELDING PROCESS.  B. THE PREDECESSOR TO THIS LINE CLASS MAY BE BSL WHICH SPECIFIED CAST IRON FLANGES. USE FLAT FACE STEEL FLANGES WITH FULL FACE GASKET WHEN MATING AGAINST THOSE CAST IRON FLANGES.  C.  FIELD VERIFY EXISTING FLANGES FOR FACING.  ORIGINAL PIPE SPEC SPECIFIED FLAT FACE FLANGES.  ,
CXY ,WET SULFUR VAPOR & H2S,CLASS 150 RF,ASME B16.5,450 F,"0.050"" (INNER PIPE) 0.0625 (JACKET)",A106-B FOR OUTER ALLOY 20 FOR INNER,CLASS 3000,316SS,316 SS/PTFE,KLINGER-TOP CHEM 2000,SS B8,NONE,"SOLID ALLOY 20 FOR 1/2"" - 1 1/2"" (NON JACKETED)",,2007-11-6,"A.  ALL JACKETED PIPING SHALL HAVE APPROVED FABRICATION DRAWINGS.  FOR DETAILS, REFERENCE DRAWING NO. LD-28-1700-611 & LD-28-1700-612.  B.  ALL TURNS SHALL BE MADE WITH FITTINGS WITH FLANGED CLEANOUTS.  PIPE BENDS FOR EXPANSION SHALL HAVE FLANGED ENDS FOR BREAKOUT.  C.  CONSULT PIPING ENGINEER FOR REQUIREMENTS OF SPACERS.  D.  STEAM JACKETS SHALL HAVE CONNECTIONS FOR JUMPOVERS AT ALL FLANGED CONNECTIONS.  E.  SUFFICIENT CONNECTIONS FOR STEAMING, BLOWING AND DRAINING SHALL BE PROVIDED ON ALL JACKETED LINES.  F.  PIPING FLEXIBILITY ANALYSIS IS REQUIRED FOR ALL JACKETED PIPING SYSTEMS.  G.  NO COPPER OR COPPER BEARING ALLOYS PERMITTED IN THIS SERVICE.  H.  THE WELD ROOT PASS FOR BUTTWELDS ON ALLOY 20 PIPE SHALL BE MADE WITH THE GAS TUNGSTEN ARC WELDING PROCESS.",
CY  ,"WATER TREATMENT CHEMICALS (SODIUM HYPOCHLORITE, DISPERSANT, SODIUM BROMIDE)",CL 150 RF,150 PSIG,150F,NONE,HASTELLOY C,CL 3000 SW,HASTELLOY C,HAST. C / TFE,KLINGER-TOP CHEM 2000,B7 STUD,NONE, ,,2007-11-14,"USE THIS LINE CLASS FOR PIPING UPSTREAM OF PRIMARY BLOCK VALVE, INCLUDING VALVE. LINE CLASS BV MAY BE USED FOR PIPING DOWNSTREAM OF PRIMARY BLOCK VALVE.",
CYA ,WATER WITH H2S04,CL 150 RF,230 PSIG AT 100F,650F AT 125 PSIG,"0.050""",ALLOY C276,CL 3000 SW,ALLOY C,ALLOY C / RTFE,SPIRAL WOUND (see comments below),B7 STUD,S-09,ALLOY C276 INNER RING AND WINDING WITH CARBON STEEL OUTER RING,,2008-1-12,PRESSURE AND TEMPERATURE RATINGS ARE LIMITED BY ALLOY C VALVES PER ASME B16.34-1998 MATERIAL GROUP 3.15.,
CYB ,CRUDE-OVERHEAD LINE REPLACEMENT, , , , , , , , , , , ,PLACE HOLDER - AMR#1008AR,,2009-2-13,PLACE HOLDER NOTE TO ADVISE USERS IN GENERAL,
DA  ,"HYDROCARBON LIQUID & VAPOR, PRESULFIDING AGENT, NITROGEN, AMMONIA",CL 300 RF,ASME B16.5,500F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STELL.,CMG,B7 STUD,S-01 (see comment #1),(1) USE S-10 IF SPECIFIED ON P&ID.,,2008-1-12,"A. NO COPPER ON COPPER BEARING ALLOYS PERMITTED IN AMMONIA SERVICE.  B. FOR AMMONIA SERVICE, USE SINGLE SEATED VALVES (E.G. GLOBE, ORBIT). DO NOT USE DOUBLE SEATED VALVES (E.G. GATE, TWIN SEAL).  C. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF BALL AND ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.                   D. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.  E.  REFER TO INSTRUMENT PIPING SPEC COMMENT IN INDEX INFO TAB","A. EXISTING PLUG VALVES SHOULD BE REPLACED WITH BALL VALVES OR ORBIT VALVES SHOWN IN THIS LINE CLASS. NOTE THAT ORBIT AND PLUG VALVES HAVE THE SAME FACE TO FACE DIMENSION IN VALVE SIZES 2"" TO 6"" ONLY. IF FLANGED PLUG VALVES HAVE TO BE REPLACED IN KIND, THE APPLICABLE VALVE CODE NUMBER IS V03710.  B. USE V03801 TO REPLACE IN-KIND EXISTING NELES-JAMESBURY BALL VALVES WITH THE PROPRIETARY SHORT PATTERN FACE TO FACE DIMENSION (SHORTER THAN ASME B16.10 SHORT PATTERN).   C. EXISTING WAFER STYLE CHECK VALVES SHOULD BE REPLACED WITH SWING CHECK VALVES. IF EXISTING WAFER STYLE (DOUBLE PLATE) CHECK VALVES HAVE TO BE REPLACED IN KIND, USE VALVE CODE NUMBER V03530."
DAA ,HYDROCARBON LIQUID & VAPOR,CL 300 RF,ASME B16.5,750F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STELL.,CMG / SPIRAL WOUND,B7 STUD,S-01,SEE NOTE 169 FOR SPIRAL WOUND GASKET USE.,,2008-1-12,"A. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.  B. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.",
DAB ,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 300 RF (125-250AARH),ASME B16.5,(GOVERNED BY AP941-NELSON CURVE),"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STELL.,CMG / SPIRAL WOUND,B7 STUD,S-01 (see comment #2),(1) SEE NOTE 169 FOR SPIRAL WOUND GASKET USE. (2) USE S-10 IF SPECIFIED ON P&ID.,,2009-2-10,"A. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.  B. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.  C.  REFER TO INSTRUMENT PIPING SPEC COMMENT IN INDEX INFO TAB","EXISTING PLUG VALVES SHOULD BE REPLACED WITH ORBIT VALVES SHOWN IN THIS LINE CLASS. NOTE THAT ORBIT VALVES AND PLUG VALVES HAVE THE SAME FACE TO FACE DIMENSION IN VALVE SIZES 2"" TO 6"" ONLY. IF FLANGED PLUG VALVES HAVE TO BE  REPLACED IN KIND, THE APPLICABLE VALVE CODE NUMBER IS V03711."
DAB2,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE BELOW 100 PSIA),CL 300 RF (125-250AARH),ASME B16.5,750F(GOVERNED BY AP941-NELSON CURVE),"0.125""",CARBON STEEL,CL 3000/6000 SW,CARBON STEEL,12 CR/ STELL.,CMG,B7 STUD,S-01 (see comment #1),(1) USE S-10 IF SPECIFIED ON P&ID.,,2008-1-12,"A. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.  B. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.",
DAC ,"HYDROCARBON LIQUID & VAPOR, BRINE",CL 300 RF,ASME B16.5,500F,"0.125""",CARBON STEEL,CL 3000/ 6000 SW,CARBON STEEL,12 CR/ STELL.,CMG,B7 STUD,S-01 (see comment #1),(1) USE S-10 IF SPECIFIED ON P&ID.,,2008-1-12,"A. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF BALL AND ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.  B. REFER TO LINE CLASSES DACN, DAC2, AND DAC3 FOR OTHER SERVICES.  C. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.","A. EXISTING PLUG VALVES SHOULD BE REPLACED WITH LONG PATTERN BALL VALVES (V03814) OR ORBIT VALVES SHOWN IN THIS LINE CLASS. NOTE THAT ORBIT AND PLUG VALVES HAVE THE SAME FACE TO FACE DIMENSION IN VALVE SIZES 2"" TO 6"" ONLY. IF FLANGED PLUG VALVES HAVE TO BE REPLACED IN KIND,  THE APPLICABLE VALVE CODE NUMBER IS V03710.  B. USE V03801 TO REPLACE IN KIND EXISTING NELES-JAMESBURY BALL VALVES WITH THE PROPRIETARY SHORT PATTERN FACE TO FACE DIMENSION (NON-STANDARD).   C. EXISTING WAFER STYLE CHECK VALVES SHOULD BE REPLACED WITH SWING CHECK VALVES. IF EXISTING WAFER STYLE (DOUBLE PLATE) CHECK VALVES HAVE TO BE REPLACED IN KIND, USE VALVE CODE NUMBER V03530."
DAC2,"RICH AMINE (MEA, DEA, MDEA)",CL 300 RF,ASME B16.5,500F,"0.125""",CARBON  STEEL,CL 3000/ 6000 SW,CARBON STEEL,316SS/ STELL.,CMG,B7 STUD,S-01,(1) NACE REQUIRED. (2) PWHT  FOR SERVICE.,,2008-1-12,"A. NO COPPER OR COPPER BEARING ALLOYS PERMITTED IN THIS SERVICE.  B. VALVES TO HAVE NACE TRIM. BONNET BOLTS MAY BE ASTM A193 GRADE B7 WITH  GRADE 2H NUTS.  C. ALL CARBON STEEL WELDS SHALL BE STRESS RELIEVED.  D. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF BALL AND ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.  E. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.  F.  METAL THAT HAS BEEN EXPOSED TO CAUSTIC OR AMINE SERVICE MUST BE NEUTRALIZED PRIOR TO WELDING.  THE METAL SHALL BE THOROUGHLY RINSED WITH WATER AND THEN NEUTRALIZED WITH AMPLE AMOUNTS OF UNDILUTED VINEGAR.  ALLOW FOR THE SOLUTION TO REACT FOR APPROXIMATELY 5 MINUTES AND THEN RINSE AGAIN WITH WATER.  VERIFY NEUTRALIZATION USING LITMUS PAPER AND REPEAT IF NECESSARY.  ONCE NEUTRALIZED, DRY THE AREA AND PROCEED WITH WELDING.",A.  USE V03802 TO REPLACE IN KIND EXISTING NELES-JAMESBURY BALL VALVES WITH THE PROPRIETARY SHORT PATTERN FACE TO FACE DIMENSION (NON-STANDARD).
DAC3,"LEAN AMINES (MEA, DEA, MDEA), CAUSTIC (FRESH & SOUR)",CL 300 RF,ASME B16.5,500F,"0.125""",CARBON STEEL,CL 3000/ 6000 SW,CARBON STEEL,12 CR/ STELL.,CMG / SPIRAL WOUND,B7 STUD,S-01,(1) PWHT FOR SERVICE. (2) SEE NOTE 169 FOR SPIRAL WOUND GASKET USE.,,2008-1-12,"A. ALL CARBON STEEL PIPE WELDING SHALL BE STRESS RELIEVED.    B. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF BALL AND ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.  C.  METAL THAT HAS BEEN EXPOSED TO CAUSTIC OR AMINE SERVICE MUST BE NEUTRALIZED PRIOR TO WELDING.  THE METAL SHALL BE THOROUGHLY RINSED WITH WATER AND THEN NEUTRALIZED WITH AMPLE AMOUNTS OF UNDILUTED VINEGAR.  ALLOW FOR THE SOLUTION TO REACT FOR APPROXIMATELY 5 MINUTES AND THEN RINSE AGAIN WITH WATER.  VERIFY NEUTRALIZATION USING LITMUS PAPER AND REPEAT IF NECESSARY.  ONCE NEUTRALIZED, DRY THE AREA AND PROCEED WITH WELDING.","A. EXISTING PLUG VALVES SHOULD  BE REPLACED WITH LONG PATTERN BALL VALVES (V03814) OR ORBIT VALVES SHOWN IN THIS LINE CLASS. NOTE THAT ORBIT AND PLUG VALVES HAVE THE SAME FACE TO FACE DIMENSION IN VALVE SIZES 2"" TO 6"" ONLY. IF FLANGED PLUG VALVES HAVE TO BE REPLACED IN KIND, THE APPLICABLE VALVE CODE NUMBER IS V03710.   B. USE V03801 TO REPLACE IN KIND EXISTING NELES-JAMESBURY BALL VALVES WITH THE PROPRIETARY SHORT PATTERN FACE TO FACE DIMENSION (NON-STANDARD)."
DACN,"WET SOUR GAS, SOUR WATER,  ACID GAS",CL 300 RF,ASME B16.5,500F,"0.125""",CARBON STEEL,CL 3000/ 6000 SW,CARBON STEEL,316SS/ STEL,CMG,B7 STUD,S-01,NACE REQUIRED,,2008-1-12,"A. NO COPPER OR COPPER BEARING ALLOYS PERMITTED IN THIS SERVICE.  B. VALVES TO HAVE NACE TRIM. BONNET BOLTS MAY BE ASTM A193 GRADE B7 WITH GRADE 2H NUTS.  C. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF BALL AND ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.",A.  USE V03802 TO REPLACE IN KIND EXISTING NELES-JAMESBURY BALL VALVES WITH PROPRIETARY SHORT PATTERN FACE TO FACE DIMENSION (NON-STANDARD).
DAD ,HYDROCARBON LIQUID & VAPOR,CL 300 RF,ASME B16.5,750F,"0.125""",CARBON STEEL,CL 3000/ 6000 SW,CARBON STEEL,12 CR/  STELL.,CMG / SPIRAL WOUND,B7 STUD,S-01,SEE NOTE 169 FOR SPIRAL WOUND GASKET USE.,,2008-1-12,"GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.",
DAE ,SULFURIC ACID (90%-98%),CL 300 RF,ASME B16.5,110F,"0.125""",CARBON STEEL,BW,ALLOY 20,ALLOY 20,KLINGER-TOP CHEM 2000,B7 STUD,S-03, ,,2008-1-12,"A. USE GTAW PROCESS FOR WELDING ROOT PASS ON ALL BUTTWELDS.  B. LIMIT LINE VELOCITY TO 3.0 FPS, USE LINE CLASS  DX FOR VELOCITIES OVER 3.0 FPS AND UP TO 10.0 FPS.  C. IN SOME APPLICATIONS, CARBON STEEL FITTINGS MAY BE ACCEPTABLE AS APPROVED BY ARCO IN ACCORDANCE WITH ENGINEERING STANDARD P-1 AND NOTED IN THE P&IDS AS REQUIRED BY PSM (PROCESS SAFETY MANAGEMENT). ",
DAH ,140#  STEAM & CONDENSATE,CL 300 RF,ASME B16.5,750F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STELL.,CMG / SPIRAL WOUND,B7 STUD,S-01,SEE NOTE 169 FOR SPIRAL WOUND GASKET USE.,,2008-1-12,FLANGED VALVES ARE PREFERRED OVER WELD-END VALVES WHEN USED AT ROTATING MACHINERY FOR ALIGNMENT PURPOSES.,
